site,tomst_id,start_date,end_date,probl
1,94184805,2018-12-06,2019-06-30,2
1,94184805,2020-05-28,2020-08-01,1
1,94184805,2022-07-21,2022-08-02,1
3,94184803,2018-12-06,2019-06-30,2
8,94184801,2018-12-06,2019-06-30,2
8,94184801,2020-07-21,2020-08-01,1
11,94184855,2018-12-06,2019-06-30,2
12,94184856,2018-12-06,2019-06-30,2
15,94194307,2019-06-10,2019-07-14,2
17,94194303,2019-06-10,2019-07-14,2
22,94194310,2019-06-10,2019-07-12,2
25,94184809,2018-12-06,2019-06-29,2
27,94194305,2019-06-10,2019-07-12,2
29,94184842,2018-12-06,2019-06-29,2
29,94184842,2021-09-09,2022-08-03,1
31,94184841,2018-12-06,2019-06-29,2
36,94194308,2019-06-10,2019-07-14,2
40,94184854,2018-12-06,2019-06-30,2
40,94184854,2022-07-21,2022-08-02,1
42,94184860,2018-12-06,2019-06-30,2
44,94184853,2018-12-06,2019-06-30,2
46,94184857,2018-12-06,2019-06-30,2
50,94184806,2018-12-06,2019-06-30,2
52,94184802,2018-12-06,2019-06-30,2
56,94184804,2018-12-06,2019-06-30,2
56,94184804,2019-09-12,2020-08-01,1
60,94184807,2018-12-06,2019-06-30,2
63,94184858,2018-12-06,2019-06-30,2
64,94184851,2018-12-06,2019-06-30,2
65,94184859,2018-12-06,2019-06-30,2
66,94194301,2019-06-10,2019-06-30,2
68,94194306,2019-06-10,2019-06-30,2
70,94194302,2019-06-10,2019-06-30,2
70,94194302,2020-05-28,2020-08-02,3
71,94184843,2018-12-06,2019-06-29,2
71,94184843,2019-09-13,2020-08-02,1
73,94184844,2018-12-06,2019-06-29,2
73,94184844,2019-10-01,2020-08-02,3
77,94184846,2018-12-06,2019-06-29,2
77,94184846,2021-08-01,2021-08-02,1
79,94194309,2019-06-10,2019-06-30,2
83,94194289,2019-06-10,2019-07-01,2
83,94194289,2022-05-31,2022-08-02,9
88,94184808,2018-12-06,2019-06-30,2
88,94184808,2021-06-29,2021-08-01,3
92,94184810,2018-12-06,2019-06-30,2
92,94184810,2021-06-16,2021-08-01,10
95,94194281,2019-06-10,2019-06-30,2
95,94194281,2022-07-15,2022-08-01,1
97,94194284,2019-06-10,2019-06-30,2
98,94194283,2019-06-10,2019-06-30,2
98,94194283,2021-06-25,2021-08-01,3
99,94194282,2019-06-10,2019-06-30,2
102,94194285,2019-06-10,2019-07-01,2
104,94194288,2019-06-10,2019-07-01,2
107,94184847,2018-12-06,2019-06-29,2
109,94184845,2018-12-06,2019-06-29,2
110,94184848,2018-12-06,2019-06-29,2
110,94184848,2020-06-24,2020-07-28,1
113,94184850,2018-12-06,2019-06-29,2
116,94184849,2018-12-06,2019-06-29,2
118,94194304,2019-06-10,2019-07-01,2
118,94194304,2021-10-03,2022-08-02,1
121,94194290,2019-06-10,2019-07-01,2
123,94194286,2019-06-10,2019-07-01,2
125,94194287,2019-06-10,2019-07-01,2
